,0,1
0,GBA,"75,250,000"
1,XOne,"68,290,000"
2,PSP,"66,680,000"
3,3DS,"61,480,000"
4,XB,"60,950,000"
5,GEN,"6,050,000"
6,SAT,"540,000"
7,2600,"5,470,000"
8,GB,"47,820,000"
9,N64,"41,060,000"
10,GC,"38,710,000"
11,SCD,"360,000"
12,PS2,"339,290,000"
13,PS3,"330,290,000"
14,X360,"270,760,000"
15,Wii,"262,210,000"
16,WiiU,"25,130,000"
17,PS4,"216,970,000"
18,PS,"213,610,000"
19,NES,"21,150,000"
20,SNES,"19,040,000"
21,DS,"188,890,000"
22,PC,"142,440,000"
23,PSV,"13,120,000"
24,DC,"1,690,000"
25,WS,0
26,NG,0
27,TG16,0
28,3DO,0
29,GG,0
30,PCFX,0
