,platform,units
0,PS2,1255639999
1,X360,971629999
2,PS3,939430000
3,Wii,908130000
4,DS,807099999
5,PS,730680000
6,PS4,495330000
7,GBA,318500000
8,PSP,294300000
9,PC,260300000
10,3DS,259089999
11,XB,258260000
12,GB,255450000
13,NES,251070000
14,XOne,220149999
15,N64,218880000
16,SNES,200050000
17,GC,199360000
18,2600,97079999
19,WiiU,82160000
20,PSV,54120000
21,SAT,33590000
22,GEN,30780000
23,DC,15969999
24,SCD,1870000
25,NG,1440000
26,WS,1420000
27,TG16,160000
28,3DO,100000
29,GG,40000
30,PCFX,30000
