,0,1
0,NES,"986,499,999.000"
1,GB,"851,200,000.000"
2,DC,"85,599,999.000"
3,PS3,"801,900,000.000"
4,PSP,"767,800,000.000"
5,Wii,"693,300,000.000"
6,GBA,"473,300,000.000"
7,GG,"400,000.000"
8,SCD,"4,500,000.000"
9,N64,"342,200,000.000"
10,SAT,"322,600,000.000"
11,PCFX,"300,000.000"
12,XOne,"3,500,000.000"
13,PS4,"292,100,000.000"
14,GEN,"26,999,999.000"
15,PSV,"219,300,000.000"
16,GC,"215,800,000.000"
17,NG,"14,400,000.000"
18,WS,"14,200,000.000"
19,WiiU,"130,100,000.000"
20,XB,"13,800,000.000"
21,X360,"124,300,000.000"
22,DS,"1,755,700,000.000"
23,PC,"1,699,999.000"
24,TG16,"1,600,000.000"
25,PS,"1,398,200,000.000"
26,PS2,"1,392,000,000.000"
27,SNES,"1,165,500,000.000"
28,3DS,"1,006,699,999.000"
29,3DO,"1,000,000.000"
30,2600,0.000
