,0,1
0,PC,"94,530,000"
1,2600,"90,600,000"
2,3DS,"83,490,000"
3,SAT,"720,000"
4,SNES,"61,230,000"
5,X360,"602,470,000"
6,PS2,"583,840,000"
7,DC,"5,430,000"
8,Wii,"496,900,000"
9,PS3,"393,490,000"
10,DS,"382,670,000"
11,WiiU,"38,100,000"
12,PS,"336,520,000"
13,GEN,"21,050,000"
14,GBA,"187,540,000"
15,XB,"186,690,000"
16,PS4,"173,160,000"
17,N64,"139,020,000"
18,GC,"133,460,000"
19,XOne,"131,390,000"
20,NES,"125,940,000"
21,PSV,"12,580,000"
22,GB,"114,320,000"
23,PSP,"109,170,000"
24,SCD,"1,000,000"
25,WS,0
26,NG,0
27,TG16,0
28,3DO,0
29,GG,0
30,PCFX,0
