,0,1
0,GEN,"970,000"
1,2600,"910,000"
2,X360,"85,760,000"
3,XB,"8,720,000"
4,GB,"8,200,000"
5,Wii,"79,070,000"
6,PS4,"75,930,000"
7,SAT,"70,000"
8,GBA,"7,730,000"
9,PSV,"6,460,000"
10,DS,"59,280,000"
11,SCD,"50,000"
12,WiiU,"5,950,000"
13,NES,"5,310,000"
14,GC,"5,180,000"
15,PSP,"41,420,000"
16,PS,"40,910,000"
17,N64,"4,380,000"
18,SNES,"3,220,000"
19,DC,"270,000"
20,PC,"22,380,000"
21,PS2,"193,440,000"
22,XOne,"19,880,000"
23,PS3,"135,680,000"
24,3DS,"13,360,000"
25,WS,0
26,NG,0
27,TG16,0
28,3DO,0
29,GG,0
30,PCFX,0
